Date,Open,High,Low,Close,Adj Close,Volume,Change
2013-07-08,28100,28600,27400,27800,24819.09961,7227558,-2.11
2013-07-09,28050,28450,27750,28350,25310.125,5276470,1.98
2013-07-10,28150,28300,27400,27500,24551.26367,6362139,-3
2013-07-11,27900,28400,27650,28400,25354.76172,6330650,3.27
2013-07-12,28450,28650,28100,28500,25444.04297,4499172,0.35
2013-07-15,28500,28750,28050,28450,25399.4043,2613544,-0.18
2013-07-16,28650,28700,28300,28450,25399.4043,2886705,0
2013-07-17,28750,28850,28200,28600,25533.32031,4374401,0.53
2013-07-18,28950,29450,28750,29200,26068.98047,6437820,2.1
2013-07-19,29300,29350,28400,28400,25354.76172,5306867,-2.74
2013-07-22,28400,28500,27850,28000,24997.65625,5042732,-1.41
2013-07-23,27900,28400,27750,28200,25176.21094,4952809,0.71
2013-07-24,28300,28750,28300,28550,25488.67773,3818831,1.24
2013-07-25,29150,29250,28400,28600,25533.32031,6778488,0.18
2013-07-26,28850,28850,27900,28150,25131.56836,7755181,-1.57
2013-07-29,27950,27950,26900,27000,24104.88281,15227768,-4.09
2013-07-30,27050,27300,26600,27100,24194.1582,6903868,0.37
2013-07-31,27200,27350,27150,27200,24283.43555,4386284,0.37
2013-08-01,27250,27450,27100,27400,24461.99023,6151190,0.74
2013-08-02,27500,27700,27250,27450,24506.63477,6877232,0.18
2013-08-05,27300,27400,27150,27400,24461.99023,4180804,-0.18
2013-08-06,27600,27750,27350,27550,24595.9043,4125157,0.55
2013-08-07,27350,27400,26550,26550,23703.13477,7771130,-3.63
2013-08-08,26350,26600,26000,26200,23390.66406,5396449,-1.32
2013-08-09,26200,27100,26200,26650,23792.41016,4669522,1.72
2013-08-12,26650,27300,26600,27000,24104.88281,3849323,1.31
2013-08-13,27050,28300,27050,28300,25265.49023,8719662,4.81
2013-08-14,28750,29200,28600,29150,26024.3457,10262550,3
2013-08-16,28700,29000,28500,28700,25622.59961,5110848,-1.54
2013-08-19,28550,28650,28300,28550,25488.67773,2594470,-0.52
2013-08-20,28500,29150,28400,28500,25444.04297,5699909,-0.18
2013-08-21,28700,28850,28050,28200,25176.21094,3079266,-1.05
2013-08-22,27800,28350,27700,28050,25042.29297,3639542,-0.53
2013-08-23,28400,28850,28300,28500,25444.04297,4137108,1.6
2013-08-26,28500,28700,28150,28350,25310.125,2937697,-0.53
2013-08-27,28100,28350,27800,27950,24953.01758,3547412,-1.41
2013-08-28,27350,27850,27350,27700,24729.82031,3556086,-0.89
2013-08-29,27700,28000,27400,27450,24506.63477,5326833,-0.9
2013-08-30,27600,28250,27550,28250,25220.84961,5663772,2.91
2013-09-02,28500,28650,28200,28300,25265.49023,3035909,0.18
2013-09-03,28550,28650,28300,28450,25399.4043,3100871,0.53
2013-09-04,28400,28700,28200,28650,25577.96094,3042973,0.7
2013-09-05,27400,28150,27300,28150,25131.56836,20625404,-1.75
2013-09-06,28100,28250,26850,27100,24194.1582,12199781,-3.73
2013-09-09,27600,28450,27550,28450,25399.4043,9571714,4.98
2013-09-10,28550,28950,28400,28950,25845.78711,6680750,1.76
2013-09-11,29100,29300,28700,28900,25801.15234,4893860,-0.17
2013-09-12,29000,29300,28750,28900,25801.15234,6018991,0
2013-09-13,28900,29250,28800,29000,25890.42773,4674307,0.35
2013-09-16,29300,29850,29300,29800,26604.64453,5218534,2.76
2013-09-17,30000,30450,29650,30300,27051.03125,6788948,1.68
2013-09-23,30650,30700,30200,30550,27274.22852,4872847,0.83
2013-09-24,30400,30850,30250,30500,27229.58789,3788474,-0.16
2013-09-25,30300,30400,29600,29750,26560.00977,4839999,-2.46
2013-09-26,29750,30600,29700,30350,27095.67188,4297077,2.02
2013-09-27,30550,30600,29850,30350,27095.67188,3597617,0
2013-09-30,30300,30750,30000,30250,27006.39648,3883347,-0.33
2013-10-01,30200,30500,29800,29950,26738.56445,3094789,-0.99
2013-10-02,30650,31250,30600,31150,27809.89063,7077277,4.01
2013-10-04,31700,32450,31550,32450,28970.49609,10794205,4.17
2013-10-07,32750,33100,32600,32900,29372.24414,10211692,1.39
2013-10-08,32800,32900,32450,32750,29238.32617,20161932,-0.46
2013-10-10,32750,33900,32700,33600,29997.18555,6362115,2.6
2013-10-11,33900,34000,33100,33350,29773.99219,6953280,-0.74
2013-10-14,33100,33400,32550,33100,29550.79688,4504637,-0.75
2013-10-15,33450,33600,33250,33450,29863.26953,2875473,1.06
2013-10-16,33800,34300,33250,33400,29818.62891,3964240,-0.15
2013-10-17,33800,33900,33400,33800,30175.74023,3432731,1.2
2013-10-18,34000,34650,33950,34600,30889.95703,4896108,2.37
2013-10-21,34650,35000,33900,34100,30443.57227,4601446,-1.45
2013-10-22,34000,34000,32600,32600,29104.41016,9113649,-4.4
2013-10-23,32900,33200,32500,32500,29015.13477,5848372,-0.31
2013-10-24,32500,33150,32300,33100,29550.79688,3285591,1.85
2013-10-25,32950,33000,32500,32600,29104.41016,3464261,-1.51
2013-10-28,32650,33250,32600,33100,29550.79688,3104202,1.53
2013-10-29,33350,33600,31900,31950,28524.10742,6681059,-3.47
2013-10-30,32300,33000,32300,32850,29327.60742,4858305,2.82
2013-10-31,32800,32800,31950,31950,28524.10742,4023353,-2.74
2013-11-01,32150,33300,32100,33250,29684.71484,4753636,4.07
